drug_name,Présentation,Dosage,Distributeur ou fabriquant,Composition,Classe thérapeutique,Statut,Code ATC,PPV,Prix hospitalier,Tableau,Notice en français,Nature du Produit,Indication(s),Substance (s) psychoactive (s),Princeps,Mises en garde,Contres-indication(s),Posologies et mode d'administration,Risque potentiel de dépendance ou d’abus,PPC,Boîte,Grossesse,Allaitement,Effets indésirable,Conservation,Lien du Produit,Laboratoire détenteur de l'AMM dans le pays d'origine,Age minimal d'utilisation,Particularité,AO,Export,Tiers Payant,Convention de Vienne,RCP,Liens de redirection,Notice en arabe
"HYFRESH, Solution ophtalmique",Flacon de 10 ml,2 MG,BOTTU S.A.,Hyaluronate,,Commercialisé,M09AX01,130.00 dhs,,Aucun,,Médicament,,,,,,,,,,,,,,,,,,,,,,,,
"HYGIAFLORE TRANSIT, Comprimé",Boite de 45,,NON RENSEIGNÉ,"6 plantes, levure de bière et 2 ferments",,Commercialisé,,,,Aucun,,Complément alimentaire,,,,,,,,80.00 dhs,,,,,,,,,,,,,,,,
"HYLO-FRESH, Collyre",Flacon de 10 ml,,NON RENSEIGNÉ,,,Commercialisé,,,,,,Dispositif médical,,,,,,,,99.00 dhs,,,,,,,,,,,,,,,,
"HYLO-GEL , Collyre",Flacon de 10 ml,,NON RENSEIGNÉ,Hyaluronte de sodium,,Commercialisé,,,,Aucun,,Médicament,Sécheresse oculaire importante,,,,,,,180.00 dhs,,,,,Tout flacon entamé ne peut être gardé au delà de 6 mois,,,,,,,,,,,
"HYLOCOMOD, Solution ophtalmique",Flacon de 10 ml,,NON RENSEIGNÉ,,,Commercialisé,,,,Aucun,,Dispositif médical,,,,,,,,150.00 dhs,,,,,6 mois après ouverture du flacon,,,,,,,,,,,
"HYPERIUM 1 MG, Comprimé",Boîte de 30,1 MG,SERVIER MAROC,Rilmenidine,Antihypertenseurs à action centrale,Commercialisé,C02AB06,113.50 dhs,70.90 dhs,A,,Médicament,Hypertension artérielle.,,Oui,,,,,,,,,,,,,,,,,,,,,
"HYPNOMIDATE 2 MG / ML, Solution injectable [P]",5 ampoules de 10 ml,2 MG / ML,MAPHAR,Etomidate,Anesthésique général,Commercialisé,N01AX07,203.00 dhs,127.50 dhs,A,,Médicament,"Hypnotique pur à brève durée d'action, l'étomidate 2 mg/ml peut être utilisé comme :

- agent inducteur de l'anesthésie générale,
- potentialisateur d'agents anesthésiques gazeux ou volatils,
- agent hypnotique unique pour des interventions peu douloureuses de courte durée nécessitant un réveil rapide.",Oui,Oui,,,,Oui,,,,,,,,,,,,,,,,,
"HYPRIL 20 MG / 12.5 MG, Comprimé",Boîte de 30,20 MG | 12.5 MG,ATLAS PHARM,Enalapril | Hydrochlorothiazide,Antihypertenseur de la famille des Inhibiteur de l'enzyme de conversion associé un diurétique thiazidique,Commercialisé,C09BA02,71.50 dhs,44.70 dhs,A,,Médicament,Traitement de l'hypertension artérielle en cas d'échec thérapeutique d'une monothérapie par un inhibiteur de l'enzyme de conversion.,,,,,,,,,,,,,,,,,,,,,,,
"HYPURIC 120 MG, Comprimé pelliculé",Boite de 28,120 MG,PHI,Fébuxostat,"Uricosurique, inhibiteurs de la synthèse d’acide urique",Commercialisé,M04AA03,163.70 dhs,102.30 dhs,A,,,"Fébuxostat est indiqué dans le traitement de l’hyperuricémie chronique dans les cas où un dépôt d’urate s’est déjà produit (incluant des antécédents ou la présence de tophus et/ou d’arthrite goutteuse).

Fébuxostat est indiqué dans la prévention et le traitement de l’hyperuricémie, chez les patients adultes traités par chimiothérapie pour des hémopathies malignes et à risque intermédiaire ou à haut risque de Syndrome de Lyse Tumorale (TLS).

Fébuxostat est indiqué chez l’adulte.",,,,,,,,,,,,,,,,,,,,,,,
"HYPURIC 80 MG, Comprimé pelliculé",Boite de 28,80 MG,PHI,Fébuxostat,"Uricosurique, inhibiteurs de la synthèse d’acide urique",Commercialisé,M04AA03,158.90 dhs,99.30 dhs,A,,,"Fébuxostat est indiqué dans le traitement de l’hyperuricémie chronique dans les cas où un dépôt d’urate s’est déjà produit (incluant des antécédents ou la présence de tophus et/ou d’arthrite goutteuse).

Fébuxostat est indiqué dans la prévention et le traitement de l’hyperuricémie, chez les patients adultes traités par chimiothérapie pour des hémopathies malignes et à risque intermédiaire ou à haut risque de Syndrome de Lyse Tumorale (TLS).

Fébuxostat est indiqué chez l’adulte.",,,,,,,,,,,,,,,,,,,,,,,
"HYTACAND 16 MG / 12.5 MG, Comprimé",Boîte de 30,16 MG | 12.5 MG,SYNTHEMEDIC,Candésartan | Hydrochlorothiazide,Antihypertenseurs ( Antagonistes de l'angiotensine II et diurétique ),Commercialisé,C09DA06,176.20 dhs,110.10 dhs,A,,Médicament,,,Oui,,"traitement de l'hypertension essentielle, lorsqu'une monothérapie ne permet d'obtenir qu'un effet insuffisant.",,,,,,,,,,,,,,,,,,,
"HYTACAND 8 MG / 12.5 MG, Comprimé",Boîte de 28,8 MG / 12.5MG,SYNTHEMEDIC,Candésartan | Hydrochlorothiazide,Antihypertenseurs,Commercialisé,C09DA06,94.70 dhs,59.20 dhs,A,,Médicament,"traitement de l'hypertension essentielle, lorsqu'une monothérapie ne permet d'obtenir qu'un effet insuffisant.",,Oui,,,,,,,,,,,,,,,,,,,,,
"I P P 20 MG, Gélule",Boite de 7,20 MG,GALENICA,Oméprazole,"Antiulcéreux, inhibiteur de la pompe à protons (IPP)",Commercialisé,A02BC01,20.60 dhs,12.80 dhs,C,,Médicament,"L’oméprazole est utilisé pour traiter les affections suivantes :

Chez les adultes :

- le reflux gastro-œsophagien (RGO). L’acide de l’estomac remonte au niveau de l’œsophage (le tube qui relie la gorge à l’estomac) entraînant douleur, inflammation et brûlures.

- les ulcères de la partie haute de votre intestin (ulcère duodénal) ou de votre estomac (ulcère gastrique).

- les ulcères infectés par une bactérie appelée Helicobacter pylori. Dans ce cas, votre médecin peut également vous prescrire des antibiotiques qui permettent de traiter l’infection et de guérir l’ulcère.

- les ulcères de l’estomac associés à la prise d’anti-inflammatoires non stéroïdiens (AINS). L’oméprazole peut aussi être utilisé pour la prévention de ceux-ci si vous prenez des AINS.

- un excès d’acide dans l’estomac dû à une grosseur au niveau du pancréas (syndrome de Zollinger-Ellison)

Chez les enfants :

Enfants âgés de plus d’un an et avec un poids corporel ≥ 10 kg

- le reflux gastro-œsophagien (RGO). L’acide de l’estomac remonte au niveau de l’œsophage (le tube qui relie la gorge à l’estomac) entraînant douleur, inflammation et brûlures.

- Les symptômes chez l’enfant peuvent comprendre des remontées dans la bouche du contenu de l'estomac (régurgitation), des vomissements et une prise de poids limitée.

Enfants âgés de plus de 4 ans et adolescents

les ulcères infectés par une bactérie appelée Helicobacter pylori. Dans ce cas, le médecin peut également prescrire à votre enfant des antibiotiques qui permettent de traiter l’infection et de guérir l’ulcère.",,,,,,,,,,,,,,,,,,,,,,,
"I P P 20 MG, Gélule",Boite de 56,20 MG,GALENICA,Oméprazole,"Antiulcéreux, inhibiteur de la pompe à protons (IPP)",Commercialisé,A02BC01,129.00 dhs,80.60 dhs,C,,Médicament,"L’oméprazole est utilisé pour traiter les affections suivantes :



Chez les adultes :

- le reflux gastro-œsophagien (RGO). L’acide de l’estomac remonte au niveau de l’œsophage (le tube qui relie la gorge à l’estomac) entraînant douleur, inflammation et brûlures.

- les ulcères de la partie haute de votre intestin (ulcère duodénal) ou de votre estomac (ulcère gastrique).

- les ulcères infectés par une bactérie appelée Helicobacter pylori. Dans ce cas, votre médecin peut également vous prescrire des antibiotiques qui permettent de traiter l’infection et de guérir l’ulcère.

- les ulcères de l’estomac associés à la prise d’anti-inflammatoires non stéroïdiens (AINS). L’oméprazole peut aussi être utilisé pour la prévention de ceux-ci si vous prenez des AINS.

- un excès d’acide dans l’estomac dû à une grosseur au niveau du pancréas (syndrome de Zollinger-Ellison)

Chez les enfants :

Enfants âgés de plus d’un an et avec un poids corporel ≥ 10 kg

- le reflux gastro-œsophagien (RGO). L’acide de l’estomac remonte au niveau de l’œsophage (le tube qui relie la gorge à l’estomac) entraînant douleur, inflammation et brûlures.

- Les symptômes chez l’enfant peuvent comprendre des remontées dans la bouche du contenu de l'estomac (régurgitation), des vomissements et une prise de poids limitée.

Enfants âgés de plus de 4 ans et adolescents

les ulcères infectés par une bactérie appelée Helicobacter pylori. Dans ce cas, le médecin peut également prescrire à votre enfant des antibiotiques qui permettent de traiter l’infection et de guérir l’ulcère.",,,,,,,,,,,,,,,,,,,,,,,
"I P P 20 MG, Gélule",Boîte de 14,20 MG,GALENICA,Oméprazole,"Antiulcéreux, inhibiteur de la pompe à protons (IPP)",Commercialisé,A02BC01,52.80 dhs,32.90 dhs,C,,Médicament,"L’oméprazole est utilisé pour traiter les affections suivantes :



Chez les adultes :

- le reflux gastro-œsophagien (RGO). L’acide de l’estomac remonte au niveau de l’œsophage (le tube qui relie la gorge à l’estomac) entraînant douleur, inflammation et brûlures.

- les ulcères de la partie haute de votre intestin (ulcère duodénal) ou de votre estomac (ulcère gastrique).

- les ulcères infectés par une bactérie appelée Helicobacter pylori. Dans ce cas, votre médecin peut également vous prescrire des antibiotiques qui permettent de traiter l’infection et de guérir l’ulcère.

- les ulcères de l’estomac associés à la prise d’anti-inflammatoires non stéroïdiens (AINS). L’oméprazole peut aussi être utilisé pour la prévention de ceux-ci si vous prenez des AINS.

- un excès d’acide dans l’estomac dû à une grosseur au niveau du pancréas (syndrome de Zollinger-Ellison)

Chez les enfants :

Enfants âgés de plus d’un an et avec un poids corporel ≥ 10 kg

- le reflux gastro-œsophagien (RGO). L’acide de l’estomac remonte au niveau de l’œsophage (le tube qui relie la gorge à l’estomac) entraînant douleur, inflammation et brûlures.

- Les symptômes chez l’enfant peuvent comprendre des remontées dans la bouche du contenu de l'estomac (régurgitation), des vomissements et une prise de poids limitée.

Enfants âgés de plus de 4 ans et adolescents

les ulcères infectés par une bactérie appelée Helicobacter pylori. Dans ce cas, le médecin peut également prescrire à votre enfant des antibiotiques qui permettent de traiter l’infection et de guérir l’ulcère.",,,,,,,,,,,,,,,,,,,,,,,
"I P P 20 MG, Gélule",Boîte de 28,20 MG,GALENICA,Oméprazole,"Antiulcéreux, inhibiteur de la pompe à protons (IPP)",Commercialisé,A02BC01,95.00 dhs,59.20 dhs,C,,Médicament,"L’oméprazole est utilisé pour traiter les affections suivantes :



Chez les adultes :

- le reflux gastro-œsophagien (RGO). L’acide de l’estomac remonte au niveau de l’œsophage (le tube qui relie la gorge à l’estomac) entraînant douleur, inflammation et brûlures.

- les ulcères de la partie haute de votre intestin (ulcère duodénal) ou de votre estomac (ulcère gastrique).

- les ulcères infectés par une bactérie appelée Helicobacter pylori. Dans ce cas, votre médecin peut également vous prescrire des antibiotiques qui permettent de traiter l’infection et de guérir l’ulcère.

- les ulcères de l’estomac associés à la prise d’anti-inflammatoires non stéroïdiens (AINS). L’oméprazole peut aussi être utilisé pour la prévention de ceux-ci si vous prenez des AINS.

- un excès d’acide dans l’estomac dû à une grosseur au niveau du pancréas (syndrome de Zollinger-Ellison)

Chez les enfants :

Enfants âgés de plus d’un an et avec un poids corporel ≥ 10 kg

- le reflux gastro-œsophagien (RGO). L’acide de l’estomac remonte au niveau de l’œsophage (le tube qui relie la gorge à l’estomac) entraînant douleur, inflammation et brûlures.

- Les symptômes chez l’enfant peuvent comprendre des remontées dans la bouche du contenu de l'estomac (régurgitation), des vomissements et une prise de poids limitée.

Enfants âgés de plus de 4 ans et adolescents

les ulcères infectés par une bactérie appelée Helicobacter pylori. Dans ce cas, le médecin peut également prescrire à votre enfant des antibiotiques qui permettent de traiter l’infection et de guérir l’ulcère.",,,,,,,,,,,,,,,,,,,,,,,
"i3.1, Gelule",Boite de 30,,SOTHEMA,Ocidilactici CECT 7483 | Lactobacillus plantum CECT 7484 | Lactobacilus plantarum CECT 7485,Probiotics,Commercialisé,,,,Aucun,,Complément alimentaire,Régulateur du transit intestinal,,,,,,,270.00 dhs,,,,,,,,,,,,,,,,
"IALUSET, Compresse",Boite de 10,,ZENITH PHARMA,,,Commercialisé,,,,Aucun,,Dispositif médical,,,,,,,,350.00 dhs,,,,,,,,,,,,,,,,
"IALUSET, Crème",Tube de 100 G,,ZENITH PHARMA,,,Commercialisé,,,,Aucun,,Cosmétique,,,,,,,,175.00 dhs,,,,,,,,,,,,,,,,
"IBEFLOX 200 MG, Comprimé",Boite de 10,200 MG,IBERMA,Ofloxacine,Antibiotique de la famille des quinolones (fluoroquinolones),Commercialisé,S01AE01,57.90 dhs,36.20 dhs,A,,Médicament,"L’ ofloxacine 200 mg, comprimé pelliculé sécable est indiqué dans le traitement des infections bactériennes suivantes. Une attention particulière doit être portée aux informations disponibles sur la résistance bactérienne à l’ofloxacine avant d'initier le traitement.

Il convient de tenir compte des recommandations officielles concernant l'utilisation appropriée des antibactériens.

Chez l’adulte
- Pyélonéphrite aigüe et infections compliquées des voies urinaires.
- Prostatite d’origine bactérienne, orchi-épididymite.
- Pathologie inflammatoire pelvienne, en association à d’autres antibiotiques.

Pour les infections mentionnées ci-dessous, l’ofloxacine doit être utilisée uniquement lorsque les antibiotiques habituellement recommandés pour le traitement de ces infections, sont jugés inappropriés) :

- Cystite aigüe non compliquée.
- Urétrite.
- Infections ostéoarticulaires.
- Infections compliquées de la peau et des tissus mous.
- Sinusite aigue d’origine bactérienne.
- Exacerbation aiguë de broncho-pneumopathie chronique obstructive, y compris bronchite chronique.
- Pneumonie communautaire.

Situations particulières

Inhalation d’anthrax (charbon) : prophylaxie après exposition et traitement curatif

Au cours du traitement d'infections à Pseudomonas aeruginosa et à Staphylococcus aureus, l'émergence de mutants résistants a été décrite et peut justifier l'association d'un autre antibiotique. Une surveillance microbiologique à la recherche d'une telle résistance doit être envisagée en particulier en cas de suspicion d'échec.

L'emploi d'ofloxacine dans les infections graves, notamment bactériémiques à Pseudomonas aeruginosa et Acinetobacter, est déconseillé.",,,,,,,,,,,,,,,,,,,,,,,
"IBERMOX 15 MG, Comprimé",Boite de 10,15 MG,IBERMA,Méloxicam,"Anti-inflammatoires et antirhumatismaux, non stéroïdiens, oxicam",Commercialisé,M01AC06,37.10 dhs,23.20 dhs,A,,,"Le méloxicam est utilisé pour réduire l’inflammation et la douleur dans les articulations et les muscles.
Il est indiqué chez l’adulte et l’enfant âgé de 16 ans et plus.

MELOXICAM est utilisé dans les cas suivants :
- traitement de courte durée des douleurs aiguës d'arthrose ;
- traitement de longue durée : de la polyarthrite rhumatoïde et de la spondylarthrite ankylosante.",,,,,,,,,,,,,,,,,,,,,,,
"IBERMOX 15 MG, Comprimé",Boite de 20,15 MG,IBERMA,Meloxicam,"Anti-inflammatoires et antirhumatismaux, non stéroïdiens, oxicam",Commercialisé,M01AC06,72.60 dhs,45.40 dhs,A,,,"Le méloxicam est utilisé pour réduire l’inflammation et la douleur dans les articulations et les muscles.
Il est indiqué chez l’adulte et l’enfant âgé de 16 ans et plus.

MELOXICAM est utilisé dans les cas suivants :
- traitement de courte durée des douleurs aiguës d'arthrose ;
- traitement de longue durée : de la polyarthrite rhumatoïde et de la spondylarthrite ankylosante.",,,,,,,,,,,,,,,,,,,,,,,
"IBERMOX 7.5 MG, Comprimé",Boite de 10,7.5 MG,IBERMA,Méloxicam,"Anti-inflammatoires et antirhumatismaux, non stéroïdiens, oxicam",Commercialisé,M01AC06,27.60 dhs,17.20 dhs,A,,,"Le méloxicam est utilisé pour réduire l’inflammation et la douleur dans les articulations et les muscles.
Il est indiqué chez l’adulte et l’enfant âgé de 16 ans et plus.

MELOXICAM est utilisé dans les cas suivants :
- traitement de courte durée des douleurs aiguës d'arthrose ;
- traitement de longue durée : de la polyarthrite rhumatoïde et de la spondylarthrite ankylosante.",,,,,,,,,,,,,,,,,,,,,,,
"IBERMOX 7.5 MG, Comprimé",Boite de 20,7.5 MG,IBERMA,Méloxicam,"Anti-inflammatoires et antirhumatismaux, non stéroïdiens, oxicam",Commercialisé,M01AC06,51.00 dhs,31.90 dhs,A,,,"Le méloxicam est utilisé pour réduire l’inflammation et la douleur dans les articulations et les muscles.
Il est indiqué chez l’adulte et l’enfant âgé de 16 ans et plus.

MELOXICAM est utilisé dans les cas suivants :
- traitement de courte durée des douleurs aiguës d'arthrose ;
- traitement de longue durée : de la polyarthrite rhumatoïde et de la spondylarthrite ankylosante.",,,,,,,,,,,,,,,,,,,,,,,
"IBERTIN 1 G / 125 MG, Sachet",Boite de 24,1 G | 125 MG,IBERMA,Amoxicilline | Acide clavulanique,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,156.10 dhs,97.50 dhs,A,,Médicament,"L'association Amoxicilline | Acide clavulanique est indiquée pour le traitement des infections suivantes chez les adultes et les enfants:

- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"IBERTIN 1 G / 125 MG, Sachet",Boite de 16,1 G | 125 MG,IBERMA,Amoxicilline | Acide clavulanique,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,115.90 dhs,72.40 dhs,A,,Médicament,"L'association Amoxicilline | Acide clavulanique est indiquée pour le traitement des infections suivantes chez les adultes et les enfants:

- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"IBERTIN 1 G / 125 MG, Sachet",Boite de 12,1 G | 125 MG,IBERMA,Amoxicilline | Acide clavulanique,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,86.90 dhs,54.30 dhs,A,,Médicament,"L'association Amoxicilline | Acide clavulanique est indiquée pour le traitement des infections suivantes chez les adultes et les enfants:

- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"IBERTIN 500 MG / 62.5 MG, Sachet",Boite de 16,500 MG | 62.5 MG,IBERMA,Amoxicilline | Acide clavulanique,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,82.50 dhs,51.60 dhs,A,,Médicament,"L'association Amoxicilline | Acide clavulanique est indiquée pour le traitement des infections suivantes chez les adultes et les enfants:

- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"IBERTIN 500 MG / 62.5 MG, Sachet",Boite de 24,500 MG | 62.5 MG,IBERMA,Amoxicilline | Acide clavulanique,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,109.30 dhs,68.30 dhs,A,,Médicament,"L'association Amoxicilline | Acide clavulanique est indiquée pour le traitement des infections suivantes chez les adultes et les enfants:

- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"IBERTIN 500 MG / 62.5 MG, Sachet",Boite de 12,500 MG | 62.5 MG,IBERMA,Amoxicilline | Acide clavulanique,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,62.00 dhs,38.70 dhs,,,Médicament,"L'association Amoxicilline | Acide clavulanique est indiquée pour le traitement des infections suivantes chez les adultes et les enfants:

- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"IBRANCE 100 MG, Comprimé pelliculé",Boite de 21,100 MG,PFIZER MAROC,Palbociclib,"Antinéoplasique, inhibiteur séléctif des kinases CDK4/CDK6",Commercialisé,L01XE33,24024.00 dhs,23561.00 dhs,A,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
"IBRANCE 100 MG, Gélule",Boite de 21,100 MG,PFIZER MAROC,Palbociclib,"Antinéoplasique, inhibiteur séléctif des kinases CDK4/CDK6",Commercialisé,L01XE33,23859.00 dhs,23399.00 dhs,A,,Médicament,"IBRANCE est indiqué, en association avec le Létrozole, dans le traitement en première ligne du cancer du sein métastasique chez la femme ménopausée, positif pour le récepteur d’oestrogène (ER+) et négatif pour le récepteur 2 du facteur de croissance épidermique humain (HER2-) .",,Oui,,,,,,,,,,,,,,,,,,,,,
"IBRANCE 125 MG, Comprimé pélliculé",Boite de 21,125 MG,PFIZER MAROC,Palbociclib,"Antinéoplasique, inhibiteur séléctif des kinases CDK4/CDK6",Commercialisé,L01XE33,24024.00 dhs,23561.00 dhs,A,,,"IBRANCE est indiqué, en association avec le Létrozole, dans le traitement en première ligne du cancer du sein métastasique chez la femme ménopausée, positif pour le récepteur d’oestrogène (ER+) et négatif pour le récepteur 2 du facteur de croissance épidermique humain (HER2-) .",,Oui,,,,,,,,,,,,,,,,,,,,,
"IBRANCE 125 MG, Gélule",Boite de 21,125 MG,PFIZER MAROC,Palbociclib,"Antinéoplasique, inhibiteur séléctif des kinases CDK4/CDK6",Commercialisé,L01XE33,23859.00 dhs,23399.00 dhs,A,,Médicament,"IBRANCE est indiqué, en association avec le Létrozole, dans le traitement en première ligne du cancer du sein métastasique chez la femme ménopausée, positif pour le récepteur d’oestrogène (ER+) et négatif pour le récepteur 2 du facteur de croissance épidermique humain (HER2-) .",,Oui,,,,,,,,,,,,,,,,,,,,,
"IBRANCE 75 MG, Comprimé pélliculé",Boite de 21,75 MG,PFIZER MAROC,Palbociclib,"Antinéoplasique, inhibiteur séléctif des kinases CDK4/CDK6",Commercialisé,L01XE33,24024.00 dhs,23561.00 dhs,A,,Médicament,"IBRANCE est indiqué, en association avec le Létrozole, dans le traitement en première ligne du cancer du sein métastasique chez la femme ménopausée, positif pour le récepteur d’oestrogène (ER+) et négatif pour le récepteur 2 du facteur de croissance épidermique humain (HER2-) .",,Oui,,,,,,,,,,,,,,,,,,,,,
"IBRANCE 75 MG, Gélule",Boite de 21,75 MG,PFIZER MAROC,Palbociclib,"Antinéoplasique, inhibiteur séléctif des kinases CDK4/CDK6",Commercialisé,L01XE33,23859.00 dhs,23399.00 dhs,A,,,"IBRANCE est indiqué, en association avec le Létrozole, dans le traitement en première ligne du cancer du sein métastasique chez la femme ménopausée, positif pour le récepteur d’oestrogène (ER+) et négatif pour le récepteur 2 du facteur de croissance épidermique humain (HER2-) .",,Oui,,,,,,,,,,,,,,,,,,,,,
"IBRIMO 0.2 %, Solution ophtalmique",Flacon de 5 ml,0.2 %,BOTTU S.A.,Brimonidine,Agoniste des récepteurs alpha-2 adrénergiques,Commercialisé,S01EA05,85.50 dhs,53.40 dhs,A,,,"Réduction de la pression intraoculaire élevée chez les patients atteints d'un glaucome à grand angle ou d'une hypertension oculaire:

en monothérapie chez des patients chez lesquels un traitement topique par bêtabloquants est contre-indiqué,
en association à d'autres traitements diminuant la pression intraoculaire.",,,,,,,,,,,,,,,,,,,,,,,
"IBS PROBI DIGESTIFS, Capsule",Boite de 30,,BOTANIC PHARMA,,,Commercialisé,,,,Aucun,,Complément alimentaire,,,,,,,,274.00 dhs,,,,,,,,,,,,,,,,
"IBUPHIL 5 %, Gel",Tube de 50 g,5 %,NOVOPHARMA,Ibuprofène,"Anti-inflammatoire non stéroïdien (AINS), dérivé de l'acide propionique",Commercialisé,M01AE01,34.60 dhs,21.60 dhs,C,,Médicament,,,,,,,,,,,,,,,,,,,,,,,,
"ICAM 5 MG , Comprimé pelliculé",Boite de 7,5 MG,AFRIC-PHAR,Levocetirizine,Antihistaminiques H1,Commercialisé,R06AE09,21.00 dhs,13.10 dhs,C,,Médicament,"Chez l'adulte et l'enfant à partir de 6 ans pour le traitement de:
La rhinite allergique saisonnière, perannuelle et persistante (rhume des foins, pollinose).
La conjonctivite allergique.
L'urticaire chronique idiopathique.",,,,,,,,,,,,,,,,,,,,,,,
"ICAM 5 MG, Comprimé pelliculé",Boite de 28,5 MG,AFRIC-PHAR,Levocetirizine,Antihistaminique H1,Commercialisé,R06AE09,65.90 dhs,41.20 dhs,Aucun,,Médicament,"Chez l'adulte et l'enfant à partir de 6 ans pour le traitement de:
La rhinite allergique saisonnière, perannuelle et persistante (rhume des foins, pollinose).
La conjonctivite allergique.
L'urticaire chronique idiopathique.",,,,,,,,,,,,,,,,,,,,,,,
"ICAM 5 MG, Comprimé pelliculé",Boite de 14,5 MG,AFRIC-PHAR,Levocetirizine,Antihistaminique H1,Commercialisé,R06AE09,37.40 dhs,23.40 dhs,C,,Médicament,"Chez l'adulte et l'enfant à partir de 6 ans pour le traitement de:
La rhinite allergique saisonnière, perannuelle et persistante (rhume des foins, pollinose).
La conjonctivite allergique.
L'urticaire chronique idiopathique.",,,,,,,,,,,,,,,,,,,,,,,
"ICARD 150 MG, Comprimé pelliculé",Boite de 28,150 MG,COOPER PHARMA,Irbésartan,Antagoniste des récepteurs de l'angiotensine II,Commercialisé,C09CA04,108.70 dhs,67.90 dhs,A,,Médicament,"L’irbersartan est indiqué chez l’adulte dans le traitement de l’ hypertension artérielle essentielle. Il est également indiqué dans le traitement de l’atteinte rénale chez les patients adultes hypertendus diabétiques de type 2, dans le cadre de la prise en charge par un médicament antihypertenseur.",,,,,,,,,,,,,,,,,,,,,,,
"ICARD 300 MG, Comprimé pelliculé",Boite de 28,300 MG,COOPER PHARMA,Irbésartan,Antagoniste des récepteurs de l'angiotensine II,Commercialisé,C09CA04,150.00 dhs,93.70 dhs,A,,Médicament,"L’irbersartan est indiqué chez l’adulte dans le traitement de l’ hypertension artérielle essentielle. Il est également indiqué dans le traitement de l’atteinte rénale chez les patients adultes hypertendus diabétiques de type 2, dans le cadre de la prise en charge par un médicament antihypertenseur.",,,,,,,,,,,,,,,,,,,,,,,
