dci_a,dci_b,level_fr,severity,mechanism,recommendation
INHIBITEURS PUISSANTS DU CYP3A4,MIDAZOLAM,Association déconseillée,MAJOR,"Augmentation des concentrations plasmatiques de midazolam par diminution de son métabolisme hépatique, avec majoration de la sédation.",Association déconseillée: - avec le midazolam per os Précaution d'emploi avec : - avec le midazolam IV et sublingual Surveillance clinique et réduction de la posologie de midazolam en cas de traitement par l'inhibiteur.
INHIBITEURS PUISSANTS DU CYP3A4,MIDOSTAURINE,Association déconseillée,MAJOR,Augmentation des effets indésirables de la midostaurine par l’inhibiteur. 141,"Si l’association ne peut être évitée, surveillance clinique étroite."
INHIBITEURS PUISSANTS DU CYP3A4,OXYCODONE,Association déconseillée,MAJOR,"Majoration des effets indésirables, notamment respiratoires, de l’oxycodone par diminution de son métabolisme par l'inhibiteur.",Surveillance clinique et adaptation éventuelle de la posologie de l’oxycodone pendant le traitement par l'inhibiteur et après son arrêt.
INHIBITEURS PUISSANTS DU CYP3A4,PANOBINOSTAT,Précaution d'emploi,MODERATE,"Risque de majoration des effets indésirables, notamment cardiaques, du panobinostat par diminution de son métabolisme par l’inhibiteur.",Surveillance clinique et ECG. Débuter le traitement à dose réduite de moitié (10 mg).
INHIBITEURS PUISSANTS DU CYP3A4,PIMOZIDE,Contre-indication,MAJOR,"Risque majoré de troubles du rythme ventriculaire, notamment de torsades de pointes.",
INHIBITEURS PUISSANTS DU CYP3A4,QUETIAPINE,Contre-indication,MAJOR,"Augmentation importante des concentrations de quétiapine, avec risque de surdosage.",
INHIBITEURS PUISSANTS DU CYP3A4,QUININE,Association déconseillée,MAJOR,"Risque de majoration des effets indésirables de la quinine, notamment troubles du rythme ventriculaire et troubles neurosensoriels (cinchonisme).","Association déconseillée : - avec les inhibiteurs de protéases Précaution d’emploi : - avec les azolés antifongiques, certains macrolides, le tucatinib. Surveillance clinique et ECG. Adaptation éventuelle de la posologie de la quinine pendant le traitement par l’inhibiteur enzymatique et après son arrêt."
INHIBITEURS PUISSANTS DU CYP3A4,RANOLAZINE,Contre-indication,MAJOR,Augmentation des concentrations de ranolazine par diminution de son métabolisme par l'inhibiteur.,
INHIBITEURS PUISSANTS DU CYP3A4,RÉGORAFÉNIB,Association déconseillée,MAJOR,Augmentation des concentrations plasmatiques de régorafenib par diminution de son métabolisme hépatique par l’inhibiteur.,
INHIBITEURS PUISSANTS DU CYP3A4,RIOCIGUAT,Association déconseillée,MAJOR,Augmentation des concentrations plasmatiques de riociguat par diminution de son métabolisme hépatique par l’inhibiteur.,
INHIBITEURS PUISSANTS DU CYP3A4,RIVAROXABAN,Association déconseillée,MAJOR,"Augmentation des concentrations plasmatiques de rivaroxaban, avec majoration du risque de saignement.",
INHIBITEURS PUISSANTS DU CYP3A4,SIMVASTATINE,Contre-indication,MAJOR,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse par diminution du métabolisme de la simvastatine. 142,
INHIBITEURS PUISSANTS DU CYP3A4,TELITHROMYCINE,Contre-indication,MAJOR,"Risque de majoration des effets indésirables, notamment à type de troubles du rythme cardiaque.",chez le patient insuffisant rénal ou hépatique sévère.
INHIBITEURS PUISSANTS DU CYP3A4,TICAGRELOR,Contre-indication,MAJOR,Augmentation des concentrations plasmatiques de ticagrelor par diminution de son métabolisme hépatique par l’inhibiteur.,
INHIBITEURS PUISSANTS DU CYP3A4,TOLVAPTAN,Précaution d'emploi,MODERATE,"Augmentation importante (entre 2 à 5 fois en moyenne) des concentrations de tolvaptan, avec risque de majoration importante des effets indésirables, notamment diurèse importante, déshydratation, insuffisance rénale aiguë.","Réduire la posologie des deux tiers aux trois quarts, selon la dose prescrite."
INHIBITEURS PUISSANTS DU CYP3A4,TRASTUZUMAB EMTANSINE,Association déconseillée,MAJOR,"Augmentation des concentrations plasmatiques du DM1, un composant du trastuzumab emtansine, par inhibition de son métabolisme par l’inhibiteur.",
INHIBITEURS PUISSANTS DU CYP3A4,TRÉTINOÏNE,Précaution d'emploi,MODERATE,"Décrit pour les antifongiques azolés Augmentation des concentrations de trétinoïne par diminution de son métabolisme, avec risque de majoration de sa toxicité (pseudo- tumor cerebrii, hypercalcémie…)",Adaptation de la posologie de la trétinoïne pendant le traitement par l’inhibiteur et après son arrêt.
INHIBITEURS PUISSANTS DU CYP3A4,VÉNÉTOCLAX,Précaution d'emploi,MODERATE,"Augmentation très importante des concentrations de vénétoclax par diminution de son métabolisme hépatique, avec risque de majoration de la toxicité, notamment hématologique.",Contre-indication : - pendant la phase de titration. Précaution d'emploi: - réduction de posologie de 75% en phase de stabilisation.
INHIBITEURS PUISSANTS DU CYP3A4,VERAPAMIL,Précaution d'emploi,MODERATE,"Bradycardie et/ou troubles de la conduction auriculo-ventriculaire, par diminution du métabolisme hépatique du vérapamil par l’inhibiteur.","Surveillance clinique et ECG. S’il y a lieu, adaptation de la posologie du vérapamil pendant le traitement par l’inhibiteur, et après son arrêt, le cas échéant."
INHIBITEURS PUISSANTS DU CYP3A4,VINCA-ALCALOÏDES CYTOTOXIQUES,Association déconseillée,MAJOR,Risque de majoration de la toxicité de l'antimitotique par diminution de son métabolisme hépatique par l’inhibiteur.,"Si l’association ne peut être évitée, surveillance clinique et biologique étroite."
INHIBITEURS PUISSANTS DU CYP3A4,ZOLPIDEM,À prendre en compte,MINOR,Légère augmentation de l'effet sédatif du zolpidem.,
INHIBITEURS PUISSANTS DU CYP3A4,ZOPICLONE,À prendre en compte,MINOR,Légère augmentation de l'effet sédatif de la zopiclone.,
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,ANTIAGRÉGANTS PLAQUETTAIRES,À prendre en compte,MINOR,Augmentation du risque hémorragique. 143,
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,COBIMÉTINIB,Précaution d'emploi,MODERATE,Augmentation du risque hémorragique.,Surveillance clinique.
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,CYPROHEPTADINE,À prendre en compte,MINOR,Risque de diminution de l'efficacité de l'antidépresseur.,
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,IMAO IRRÉVERSIBLES,Contre-indication,MAJOR,"Risque d'apparition d'un syndrome sérotoninergique : diarrhée, tachycardie, sueurs, tremblements, confusion voire coma.","Respecter un délai de deux semaines entre l'arrêt de l'IMAO et le début du traitement par l'antidépresseur sérotoninergique, et d'au moins une semaine entre l'arrêt de l'antidépresseur sérotoninergique (sauf pour la fluoxétine : cinq semaines) et le début."
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,"IMAO-A RÉVERSIBLES, Y COMPRIS OXAZOLIDINONES ET BLEU DE MÉTHYLÈNE",Association déconseillée,MAJOR,"Risque d'apparition d'un syndrome sérotoninergique : diarrhée, tachycardie, sueurs, tremblements, confusion voire coma.","Si l'association ne peut être évitée, surveillance clinique très étroite. Débuter l'association aux posologies minimales recommandées."
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,IMAO-B,À prendre en compte,MINOR,Risque d'apparition d'un syndrome sérotoninergique.,
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,LITHIUM,Précaution d'emploi,MODERATE,Risque d'apparition d'un syndrome sérotoninergique.,"Surveillance clinique et biologique régulière, notamment en début d'association."
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,MILLEPERTUIS,Précaution d'emploi,MODERATE,Risque d'apparition d'un syndrome sérotoninergique.,"Surveillance clinique et biologique régulière, notamment en début d'association."
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,ORLISTAT,À prendre en compte,MINOR,Risque d'échec thérapeutique en cas de traitement concomitant par orlistat.,
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,TRAMADOL,À prendre en compte,MINOR,Risque d'apparition de convulsions et/ou d'un syndrome sérotoninergique.,
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,TRIPTANS,À prendre en compte,MINOR,Risque d'apparition d'un syndrome sérotoninergique.,
INSULINE,ALCOOL (BOISSON OU EXCIPIENT),Association déconseillée,MAJOR,Augmentation de la réaction hypoglycémique (inhibition des réactions de compensation pouvant faciliter la survenue de coma hypoglycémique). 144,Eviter la prise de boissons alcoolisées et de médicaments contenant de l'alcool.
INSULINE,BÊTA-2 MIMÉTIQUES,Précaution d'emploi,MODERATE,Elévation de la glycémie par le bêta-2 mimétique.,Renforcer la surveillance sanguine et urinaire.
INSULINE,BÊTA-BLOQUANTS (SAUF ESMOLOL) (Y COMPRIS COLLYRES),Précaution d'emploi,MODERATE,Tous les bêtabloquants peuvent masquer certains symptômes de l'hypoglycémie : palpitations et tachycardie.,"Prévenir le patient et renforcer, surtout en début de traitement, l'autosurveillance glycémique."
INSULINE,BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,Précaution d'emploi,MODERATE,Tous les bêtabloquants peuvent masquer certains symptômes de l'hypoglycémie : palpitations et tachycardie.,"Prévenir le patient et renforcer, surtout en début de traitement, l'autosurveillance glycémique."
INSULINE,CHLORPROMAZINE,Précaution d'emploi,MODERATE,A fortes posologies (100 mg par jour de chlorpromazine) : élévation de la glycémie (diminution de la libération de l'insuline).,Prévenir le patient et renforcer l'autosurveillance glycémique. Adapter éventuellement la posologie de l'insuline pendant le traitement par le neuroleptique et après son arrêt.
INSULINE,DANAZOL,Association déconseillée,MAJOR,Effet diabétogène du danazol.,"Si l'association ne peut être évitée, prévenir le patient et renforcer l'autosurveillance glycémique. Adapter éventuellement la posologie de l'insuline pendant le traitement par le danazol et après son arrêt."
INSULINE,INHIBITEURS DE L'ENZYME DE CONVERSION,Précaution d'emploi,MODERATE,L'utilisation des IEC peut entraîner une majoration de l'effet hypoglycémiant chez le diabétique traité par insuline. La survenue de malaises hypoglycémiques semble exceptionnelle (amélioration de la tolérance au glucose qui aurait pour conséquence une réduction des besoins en insuline).,Renforcer l'autosurveillance glycémique.
INTERFERON ALFA,"FLUOROURACILE (ET, PAR EXTRAPOLATION, AUTRES FLUOROPYRIMIDINES)",À prendre en compte,MINOR,Augmentation de la toxicité gastro-intestinale du fluorouracile.,
IPILIMUMAB,ANTICOAGULANTS ORAUX,Précaution d'emploi,MODERATE,Augmentation du risque d'hémorragies digestives.,Surveillance clinique étroite.
IRINOTECAN,INDUCTEURS ENZYMATIQUES,Association déconseillée,MAJOR,"Diminution probable des concentrations plasmatiques du métabolite actif de l'irinotécan, avec risque d'échec du traitement cytotoxique.",
IRINOTECAN,INHIBITEURS PUISSANTS DU CYP3A4,Association déconseillée,MAJOR,Risque de majoration des effets indésirables de l’irinotécan par augmentation des concentrations plasmatiques de son métabolite actif.,
IRINOTECAN,MILLEPERTUIS,Contre-indication,MAJOR,"Diminution des concentrations plasmatiques du métabolite actif de l'irinotécan, avec risque d'échec du traitement cytotoxique. 145",
ISAVUCONAZOLE,INDUCTEURS ENZYMATIQUES,Contre-indication,MAJOR,Diminution des concentrations plasmatiques d’isavuconazole par augmentation de son métabolisme hépatique par l’inducteur.,
ISAVUCONAZOLE,INHIBITEURS PUISSANTS DU CYP3A4,Précaution d'emploi,MODERATE,Augmentation des concentrations plasmatiques d’isavuconazole par diminution de son métabolisme hépatique par l’inhibiteur.,Contre-indication: - avec le kétoconazole Précaution d'emploi: - avec les autres inhibiteurs puissants du CYP3A4
ISAVUCONAZOLE,MILLEPERTUIS,Contre-indication,MAJOR,Diminution des concentrations plasmatiques d’isavuconazole par augmentation de son métabolisme hépatique par le millepertuis.,
ISONIAZIDE,ANESTHÉSIQUES VOLATILS HALOGÉNÉS,Précaution d'emploi,MODERATE,"Potentialisation de l'effet hépatotoxique de l'isonazide, avec formation accrue de métabolites toxiques de l'isoniazide.","En cas d'intervention programmée, arrêter, par prudence, le traitement par l'isoniazide une semaine avant l'intervention et ne le reprendre que 15 jours après."
ISONIAZIDE,CARBAMAZEPINE,Association déconseillée,MAJOR,Augmentation des concentrations plasmatiques de carbamazépine avec signes de surdosage par inhibition de son métabolisme hépatique.,
ISONIAZIDE,DISULFIRAME,Association déconseillée,MAJOR,Troubles du comportement et de la coordination.,
ISONIAZIDE,GLUCOCORTICOÏDES (SAUF HYDROCORTISONE),Précaution d'emploi,MODERATE,Décrit pour la prednisolone. Diminution des concentrations plasmatiques de l'isoniazide. Mécanisme invoqué : augmentation du métabolisme hépatique de l'isoniazide et diminution de celui des glucocorticoïdes.,Surveillance clinique et biologique.
ISONIAZIDE,KETOCONAZOLE,Précaution d'emploi,MODERATE,Diminution des concentrations plasmatiques de kétoconazole.,Espacer les prises des deux anti-infectieux d'au moins 12 heures. Surveiller les concentrations plasmatiques du kétoconazole et adapter éventuellement sa posologie.
ISONIAZIDE,PYRAZINAMIDE,Précaution d'emploi,MODERATE,Addition des effets hépatotoxiques.,Surveillance clinique et biologique.
ISONIAZIDE,RIFAMPICINE,Précaution d'emploi,MODERATE,Augmentation de l'hépatotoxicité de l'isoniazide (augmentation de la formation de métabolites toxiques de l'isoniazide).,"Surveillance clinique et biologique de cette association classique. En cas d'hépatite, arrêter l'isoniazide."
ISONIAZIDE,STAVUDINE,Précaution d'emploi,MODERATE,Risque majoré de survenue de neuropathies périphériques par addition d'effets indésirables.,"Surveillance clinique et biologique régulière, notamment en début d'association."
ISOPRENALINE,ANESTHÉSIQUES VOLATILS HALOGÉNÉS,Association déconseillée,MAJOR,Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque. 146,
ITRACONAZOLE,AFATINIB,Précaution d'emploi,MODERATE,Augmentation des concentrations plasmatique d’afatinib par augmentation de son absorption par l'itraconazole.,"Il est recommandé d’administrer l'itraconazole le plus à distance possible de l’afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d’afatinib."
ITRACONAZOLE,ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2,À prendre en compte,MINOR,"Diminution de l'absorption de l'azolé antifongique, par augmentation du pH intragastrique par l'antisécrétoire.",
ITRACONAZOLE,ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,À prendre en compte,MINOR,"Diminution de l'absorption de l'azolé antifongique, par augmentation du pH intragastrique par l'antisécrétoire.",
ITRACONAZOLE,APREPITANT,À prendre en compte,MINOR,Augmentation des concentrations d’aprépitant par diminution de son métabolisme hépatique par l’itraconazole.,
ITRACONAZOLE,ATORVASTATINE,Contre-indication,MAJOR,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de l'atorvastatine).,
ITRACONAZOLE,BUPRENORPHINE,Précaution d'emploi,MODERATE,"Augmentation des concentrations de buprénorphine par diminution de son métabolisme hépatique, avec risque de majoration de ses effets indésirables.","Surveillance clinique et adaptation de la posologie de la buprénorphine pendant le traitement par l'inhibiteur et, le cas échéant, après son arrêt."
ITRACONAZOLE,BUSPIRONE,Association déconseillée,MAJOR,"Augmentation des concentrations plasmatiques de la buspirone par diminution de son métabolisme hépatique, avec majoration importante de la sédation.",
ITRACONAZOLE,BUSULFAN,Association déconseillée,MAJOR,Avec le busulfan à fortes doses : doublement des concentrations de busulfan par l’itraconazole.,
ITRACONAZOLE,DABIGATRAN,Contre-indication,MAJOR,"Augmentation de plus du double des concentrations plasmatiques de dabigatran, avec majoration du risque de saignement.",
ITRACONAZOLE,DIGOXINE,Précaution d'emploi,MODERATE,"Augmentation de la digoxinémie avec nausées, vomissements, troubles du rythme.","Surveillance clinique et, s'il y a lieu, de l'ECG et de la digoxinémie avec adaptation de la posologie de la digoxine pendant le traitement par l'itraconazole et après son arrêt."
ITRACONAZOLE,ÉDOXABAN,Précaution d'emploi,MODERATE,"Augmentation des concentrations plasmatiques de l’édoxaban, avec majoration du risque de saignement.",Réduire la dose d’édoxaban de moitié.
ITRACONAZOLE,ELVITÉGRAVIR,Précaution d'emploi,MODERATE,Augmentation des concentrations plasmatiques d’elvitegravir par diminution de son métabolisme par l'itraconazole.,"Avec l’elvitegravir co-administré avec le cobicistat, surveillance clinique. Limiter la dose maximale d’itraconazole à 200 mg/j."
ITRACONAZOLE,HYDROQUINIDINE,Précaution d'emploi,MODERATE,Risque d'acouphènes et/ou de diminution de l'acuité auditive : cinchonisme lié à une diminution du métabolisme hépatique de l'antiarythmique par l'itraconazole.,Surveillance des concentrations plasmatiques de l'antiarythmique et diminution éventuelle de sa posologie si nécessaire.
ITRACONAZOLE,IMMUNOSUPPRESSEURS,Association déconseillée,MAJOR,Augmentation très importante des concentrations sanguines de l'immunosuppresseur par inhibition de son métabolisme hépatique. 147,"En cas d’association, contrôle strict de la fonction rénale, dosage des concentrations sanguines de l'immunosuppresseur et adaptation éventuelle de la posologie."
ITRACONAZOLE,NINTÉDANIB,Précaution d'emploi,MODERATE,Augmentation des concentrations plasmatiques du nintédanib par augmentation de son absorption par l'itraconazole.,Surveillance clinique pendant l’association.
ITRACONAZOLE,QUINIDINE,Précaution d'emploi,MODERATE,"Risque majoré de troubles du rythme ventriculaire, notamment de torsades de pointes, ainsi que d'acouphènes et/ou de diminution de l'acuité auditive (cinchonisme), par diminution du métabolisme hépatique de la quinidine.",Surveillance clinique.
ITRACONAZOLE,SALMETEROL,À prendre en compte,MINOR,Augmentation importante des concentrations de salmétérol par diminution de son métabolisme hépatique par l'itraconazole.,
ITRACONAZOLE,TALAZOPARIB,Précaution d'emploi,MODERATE,Augmentation des concentrations de talazoparib avec risque de majoration de la toxicité.,Réduire la dose de talazoparib.
ITRACONAZOLE,TÉNOFOVIR ALAFÉNAMIDE,Précaution d'emploi,MODERATE,Augmentation des concentrations plasmatiques du ténofovir alafénamide par augmentation de son absorption.,"En cas de co-administration avec l’itraconazole, la dose de ténofovir alafénamide doit être limitée à 10 mg par jour."
ITRACONAZOLE,TRABECTÉDINE,Association déconseillée,MAJOR,Risque d’augmentation des concentrations plasmatiques de la trabectedine par l’itraconazole.,"Si l’association est nécessaire, surveillance clinique et adaptation éventuelle de la posologie de la trabectedine pendant la durée du traitement par l’itraconazole."
ITRACONAZOLE,VENLAFAXINE,À prendre en compte,MINOR,Augmentation des concentrations de venlafaxine avec risque de surdosage.,
IVABRADINE,AZITHROMYCINE,Précaution d'emploi,MODERATE,"Risque majoré de troubles du rythme ventriculaires, notamment de torsades de pointes. De plus, risque d'augmentation des concentrations plasmatiques de l’ivabradine par augmentation de son absorption par l’azithromycine.",Surveillance clinique et ECG pendant l’association.
IVABRADINE,DILTIAZEM,Contre-indication,MAJOR,"Augmentation des concentrations plasmatiques de l’ivabradine et de ses effets indésirables, notamment cardiaques (inhibition de son métabolisme hépatique par le diltiazem), qui s’ajoutent aux effets bradycardisants de ces substances.",
IVABRADINE,INDUCTEURS ENZYMATIQUES PUISSANTS,Précaution d'emploi,MODERATE,"Risque de diminution de l'efficacité de l’ivabradine, par augmentation de son métabolisme par l’inducteur.",Surveillance clinique et adaptation de la posologie de l’ivabradine pendant l’association et après l’arrêt de l’inducteur.
IVABRADINE,INHIBITEURS PUISSANTS DU CYP3A4,Contre-indication,MAJOR,Augmentation des concentrations plasmatiques de l’ivabradine et par conséquent de ses effets indésirables (inhibition de son métabolisme hépatique par l’inhibiteur). 148,
IVABRADINE,RIFAMPICINE,Précaution d'emploi,MODERATE,"Risque de diminution de l'efficacité de l’ivabradine, par augmentation de son métabolisme par la rifampicine.",Surveillance clinique et adaptation de la posologie de l’ivabradine pendant l’association et après l’arrêt de la rifampicine.
IVABRADINE,VERAPAMIL,Contre-indication,MAJOR,"Augmentation des concentrations plasmatiques de l’ivabradine et de ses effets indésirables, notamment cardiaques (augmentation de son absorption et inhibition de son métabolisme hépatique par le vérapamil), qui s’ajoutent aux effets bradycardisants de ces deux médicaments.",
IVACAFTOR (SEUL OU ASSOCIÉ),FLUCONAZOLE,Précaution d'emploi,MODERATE,"Augmentation des concentrations d’ivacaftor, avec risque de majoration des effets indésirables.",Se référer à l'AMM pour les adaptations posologiques.
IVACAFTOR (SEUL OU ASSOCIÉ),INDUCTEURS ENZYMATIQUES,Association déconseillée,MAJOR,"Diminution importante des concentrations de l’ivacaftor, avec risque de perte d’efficacité.",
IVACAFTOR (SEUL OU ASSOCIÉ),INHIBITEURS PUISSANTS DU CYP3A4,Précaution d'emploi,MODERATE,"Augmentation des concentrations d’ivacaftor, avec risque de majoration des effets indésirables.",Se référer à l'AMM pour les adaptations posologiques.
IVACAFTOR (SEUL OU ASSOCIÉ),PAMPLEMOUSSE (JUS ET FRUIT),Association déconseillée,MAJOR,Risque d’augmentation des concentrations plasmatiques d’ivacaftor par le jus de pamplemousse.,
JOSAMYCINE,CARBAMAZEPINE,Précaution d'emploi,MODERATE,"Augmentation des concentrations plasmatiques de carbamazépine avec signes de surdosage, par diminution de son métabolisme hépatique.","Surveillance clinique et, si besoin, dosage plasmatique et réduction éventuelle de la posologie de la carbamazépine."
JOSAMYCINE,CICLOSPORINE,Précaution d'emploi,MODERATE,Risque d'augmentation des concentrations sanguines de ciclosporine et de la créatininémie.,"Dosage des concentrations sanguines de la ciclosporine, contrôle de la fonction rénale et adaptation de la posologie pendant l'association et après l'arrêt du macrolide."
JOSAMYCINE,DISOPYRAMIDE,Précaution d'emploi,MODERATE,"Risque de majoration des effets indésirables du disopyramide : hypoglycémies sévères, allongement de l’intervalle QT et troubles du rythme ventriculaire graves, notamment à type de torsades de pointes.","Surveillance clinique, biologique et électrocardiographique régulière."
JOSAMYCINE,HALOFANTRINE,Association déconseillée,MAJOR,"Risque majoré de troubles du rythme ventriculaire, notamment de torsades de pointes. 149","Si cela est possible, interrompre le macrolide. Si l’association ne peut être évitée, contrôle préalable du QT et surveillance ECG monitorée."
JOSAMYCINE,TACROLIMUS,Association déconseillée,MAJOR,"Augmentation des concentrations sanguines de tacrolimus et de la créatininémie, par inhibition du métabolisme hépatique du tacrolimus par la josamycine.",
JOSAMYCINE,"THÉOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)",À prendre en compte,MINOR,"Risque d'augmentation de la théophyllinémie, particulièrement chez l'enfant.",
KETAMINE,TICLOPIDINE,À prendre en compte,MINOR,Augmentation des concentrations plasmatiques de kétamine par diminution de son métabolisme par la ticlopidine.,
KETOCONAZOLE,AFATINIB,Précaution d'emploi,MODERATE,Augmentation des concentrations plasmatique d’afatinib par augmentation de son absorption par le kétoconazole.,"Il est recommandé d’administrer le kétoconazole le plus à distance possible de l’afatinib, en respectant de préférence un intervalle de 6 heures ou de 12 heures par rapport à la prise d’afatinib."
KETOCONAZOLE,ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2,À prendre en compte,MINOR,"Diminution de l'absorption de l'azolé antifongique, par augmentation du pH intragastrique par l'antisécrétoire.",
KETOCONAZOLE,ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,À prendre en compte,MINOR,"Diminution de l'absorption de l'azolé antifongique, par augmentation du pH intragastrique par l'antisécrétoire.",
KETOCONAZOLE,ATORVASTATINE,Contre-indication,MAJOR,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de l'atorvastatine).,
KETOCONAZOLE,BUPRENORPHINE,Précaution d'emploi,MODERATE,"Augmentation des concentrations de buprénorphine par diminution de son métabolisme hépatique, avec risque de majoration de ses effets indésirables.","Surveillance clinique et adaptation de la posologie de la buprénorphine pendant le traitement par l'inhibiteur et, le cas échéant, après son arrêt."
KETOCONAZOLE,DABIGATRAN,Contre-indication,MAJOR,"Augmentation de plus du double des concentrations plasmatiques de dabigatran, avec majoration du risque de saignement.",
KETOCONAZOLE,ELVITÉGRAVIR,Précaution d'emploi,MODERATE,Augmentation des concentrations plasmatiques d’elvitegravir par diminution de son métabolisme par le kétoconazole.,"Avec l’elvitegravir co-administré avec le cobicistat, surveillance clinique. Limiter la dose maximale de kétoconazole à 200 mg/j."
KETOCONAZOLE,FIDAXOMICINE,Association déconseillée,MAJOR,Augmentation des concentrations plasmatiques de la fidaxomicine. 150,
KETOCONAZOLE,ISONIAZIDE,Précaution d'emploi,MODERATE,Diminution des concentrations plasmatiques de kétoconazole.,Espacer les prises des deux anti-infectieux d'au moins 12 heures. Surveiller les concentrations plasmatiques du kétoconazole et adapter éventuellement sa posologie.
KETOCONAZOLE,LERCANIDIPINE,Association déconseillée,MAJOR,"Risque majoré d'effets indesirables, notamment d'oedèmes, par diminution du métabolisme hépatique de la dihydropyridine.",
KETOCONAZOLE,NEVIRAPINE,Contre-indication,MAJOR,"Augmentation des concentrations plasmatiques de névirapine par diminution de son métabolisme hépatique par le kétoconazole, d'une part, et diminution des concentrations plasmatiques du kétoconazole par augmentation de son métabolisme hépatique par la névirapine, d'autre part.",
KETOCONAZOLE,NINTÉDANIB,Précaution d'emploi,MODERATE,Augmentation des concentrations plasmatiques du nintédanib par augmentation de son absorption par le kétoconazole.,Surveillance clinique pendant l’association.
KETOCONAZOLE,RIFAMPICINE,Association déconseillée,MAJOR,Diminution des concentrations plasmatiques et de l'efficacité des deux anti-infectieux (induction enzymatique par la rifampicine et diminution de l'absorption intestinale par l’azolé antifongique).,
KETOCONAZOLE,SALMETEROL,À prendre en compte,MINOR,Augmentation importante des concentrations de salmétérol par diminution de son métabolisme hépatique par le kétoconazole.,
KETOCONAZOLE,TÉNOFOVIR ALAFÉNAMIDE,Précaution d'emploi,MODERATE,Augmentation des concentrations plasmatiques du ténofovir alafénamide par augmentation de son absorption.,"En cas de co-administration avec le kétoconazole, la dose de ténofovir alafénamide doit être limitée à 10 mg par jour."
KETOCONAZOLE,VENLAFAXINE,À prendre en compte,MINOR,Augmentation des concentrations de venlafaxine avec risque de surdosage.,
LAMIVUDINE,CLADRIBINE,Association déconseillée,MAJOR,Risque de diminution de l’efficacité de la cladribine par la lamivudine.,
LAMIVUDINE,SORBITOL,Association déconseillée,MAJOR,Diminution des concentrations plasmatiques de lamivudine par le sorbitol.,"Si l’association ne peut être évitée, surveillance plus fréquente de la charge virale."
LAMOTRIGINE,CARBAMAZEPINE,Précaution d'emploi,MODERATE,"Risque d'augmentation des effets neurologiques (vertiges, ataxie, diplopie) de la carbamazépine lors de l'introduction de la lamotrigine.",Surveillance clinique et réduction éventuelle de la posologie de la carbamazépine.
LAMOTRIGINE,ESTROPROGESTATIFS CONTRACEPTIFS,Association déconseillée,MAJOR,Diminution des concentrations et de l’efficacité de la lamotrigine par augmentation de son métabolisme hépatique. 151,Association déconseillée: - Eviter de mettre en route une contraception orale pendant la période d'ajustement posologique de la lamotrigine. Précaution d'emploi: - Surveillance clinique et adaptation de la posologie de la lamotrigine lors de la mise en route d'une contraception orale et après son arrêt.
LAMOTRIGINE,OXCARBAZEPINE,Précaution d'emploi,MODERATE,"Diminution des concentrations de la lamotrigine avec risque de moindre efficacité, par augmentation de son métabolisme hépatique par l'oxcarbazépine.","Surveillance clinique et contrôle des concentrations plasmatiques, avec adaptation de la posologie de la lamotrigine si besoin."
LAMOTRIGINE,"VALPROÏQUE (ACIDE) ET, PAR EXTRAPOLATION, VALPROMIDE",Association déconseillée,MAJOR,"Risque majoré de réactions cutanées graves (syndrome de Lyell). Par ailleurs, augmentation des concentrations plasmatiques de lamotrigine (diminution de son métabolisme hépatique par le valproate de sodium).","Si l'association s'avère nécessaire, surveillance clinique étroite."
LANSOPRAZOLE,TACROLIMUS,Précaution d'emploi,MODERATE,Augmentation des concentrations sanguines du tacrolimus.,"Dosage des concentrations sanguines du tacrolimus, contrôle de la fonction rénale et adaptation de la posologie pendant l'association et après son arrêt."
